tick101, ev002, alice, 20230828, 2
tick102, ev001, eve, 20230804, 0
tick103, ev003, eve, 20230801, 3
tick104, ev003, alice, 20230815, 1
tick105, ev003, eve, 20230802, 2
tick106, ev002, dave, 20230829, 0
tick107, ev002, dave, 20230821, 3
tick108, ev003, charlie, 20230829, 2
tick109, ev003, alice, 20230816, 2
tick110, ev001, bob, 20230820, 2
tick111, ev003, charlie, 20230814, 2
tick112, ev003, eve, 20230804, 3
tick113, ev001, eve, 20230813, 1
tick114, ev002, alice, 20230827, 3
tick115, ev002, charlie, 20230814, 3
tick116, ev002, bob, 20230824, 3
tick117, ev002, bob, 20230821, 0
tick118, ev002, charlie, 20230812, 2
tick119, ev001, dave, 20230827, 0
tick120, ev002, bob, 20230828, 3
tick121, ev003, dave, 20230822, 0
tick122, ev003, alice, 20230805, 3
tick123, ev003, dave, 20230831, 3
tick124, ev003, eve, 20230817, 0
tick125, ev002, bob, 20230804, 1
tick126, ev003, alice, 20230816, 3
tick127, ev002, alice, 20230818, 0
tick128, ev003, bob, 20230818, 3
tick129, ev001, eve, 20230830, 3
tick130, ev002, charlie, 20230827, 2
